num       U_an           U_ee           U_rk
0 1 1 1
1 1.25744 1.31416 1.36908
2 1.38806 1.48605 1.57102
3 1.38162 1.53008 1.62275
4 1.24136 1.46746 1.54919
5 0.983405 1.31804 1.37364
6 0.635021 1.09861 1.11585
7 0.2317 0.824983 0.794386
8 -0.186409 0.515036 0.430255
9 -0.578489 0.191018 0.0495905
10 -0.90702 -0.120539 -0.316433
11 -1.14136 -0.392108 -0.635477
12 -1.26059 -0.600618 -0.88044
13 -1.25532 -0.73211 -1.03492
14 -1.12845 -0.783038 -1.09475
15 -0.894593 -0.758394 -1.0658
16 -0.57845 -0.668772 -0.960508
17 -0.212241 -0.528164 -0.795319
18 0.167576 -0.352866 -0.589375
19 0.523917 -0.160873 -0.363818
20 0.822682 0.0290379 -0.140707
21 1.036 0.198961 0.0589223
22 1.14482 0.333988 0.217556
23 1.14057 0.424056 0.32337
24 1.02582 0.464793 0.371228
25 0.813798 0.457242 0.362356
26 0.526913 0.406874 0.303184
27 0.194402 0.322429 0.203976
28 -0.150628 0.214844 0.0775819
29 -0.474489 0.0962634 -0.0617287
30 -0.746183 -0.0210065 -0.1995
31 -0.940362 -0.125658 -0.322446
32 -1.03968 -0.208509 -0.419782
33 -1.0363 -0.263375 -0.484239
34 -0.932516 -0.287468 -0.512544
35 -0.740297 -0.281325 -0.505327
36 -0.479964 -0.248357 -0.466596
37 -0.178051 -0.194203 -0.402975
38 0.135379 -0.125996 -0.322843
39 0.429718 -0.0515986 -0.23544
40 0.676794 0.0211775 -0.149941
41 0.85355 0.085326 -0.0745782
42 0.944189 0.135293 -0.0158762
43 0.941561 0.16743 0.0218792
44 0.847697 0.180197 0.0368784
45 0.673432 0.17411 0.0297274
46 0.437193 0.151482 0.00314336
47 0.163063 0.116022 -0.038516
48 -0.121659 0.0723522 -0.08982
49 -0.389168 0.0254889 -0.144876
50 -0.613855 -0.0196756 -0.197936
51 -0.774751 -0.0588421 -0.24395
52 -0.857471 -0.0886841 -0.279009
53 -0.855482 -0.107097 -0.300641
54 -0.770591 -0.113298 -0.307925
55 -0.612604 -0.10778 -0.301443
56 -0.39823 -0.0921439 -0.283074
57 -0.149327 -0.0688384 -0.255694
58 0.109317 -0.0408446 -0.222806
59 0.35244 -0.0113387 -0.188142
